,CPI,Core_CPI,Core_PCE,Retail_Sales,Industrial_Production,Nonfarm_Payrolls
1969-02-01,35.8,37.6,19.236,,38.4981,69699.0
1969-03-01,36.1,37.8,19.326,,38.8,69905.0
1969-04-01,36.3,38.1,19.4,,38.6573,70072.0
1969-05-01,36.4,38.1,19.478,,38.5111,70328.0
1969-06-01,36.6,38.3,19.545,,38.8874,70636.0
1969-07-01,36.8,38.5,19.636,,39.0927,70729.0
1969-08-01,36.9,38.7,19.691,,39.1825,71008.0
1969-09-01,37.1,38.9,19.77,,39.1737,70914.0
1969-10-01,37.3,39.1,19.855,,39.1852,71121.0
1969-11-01,37.5,39.2,19.931,,38.8158,71086.0
1969-12-01,37.7,39.4,20.005,,38.7116,71241.0
1970-01-01,37.9,39.6,20.071,,37.9948,71176.0
1970-02-01,38.1,39.8,20.148,,37.9698,71305.0
1970-03-01,38.3,40.1,20.223,,37.9205,71451.0
1970-04-01,38.5,40.4,20.303,,37.823,71348.0
1970-05-01,38.6,40.5,20.375,,37.7789,71124.0
1970-06-01,38.8,40.8,20.448,,37.6567,71029.0
1970-07-01,38.9,40.9,20.526,,37.7491,71053.0
